Review	Liked
The app is very user-friendly.	1
The search algorithm needs improvement.	0
The interface is confusing.	0
There is a vast amount of content available.	1
It buffers too much even on a fast connection.	0
The app is very user-friendly.	1
I enjoy the personalized recommendations.	1
There is a vast amount of content available.	1
Notifications do not always work.	0
I enjoy the personalized recommendations.	1
Notifications do not always work.	0
The app is very user-friendly.	1
Live streaming works flawlessly.	1
Live streaming works flawlessly.	1
There are too many clickbait videos.	0
The comment section is often toxic.	0
Notifications do not always work.	0
The recommendations are often irrelevant.	0
Some videos are blocked in my country.	0
The search algorithm needs improvement.	0
There is a vast amount of content available.	1
There are too many clickbait videos.	0
I can find videos on any topic I am interested in.	1
YouTube Premium is worth the price.	1
The video quality is excellent.	1
The interface is confusing.	0
Live streaming works flawlessly.	1
I love the new features on YouTube!	1
YouTube Premium is worth the price.	1
The ads are too frequent and annoying.	0
Content sometimes gets taken down for no reason.	0
YouTube Premium is worth the price.	1
Live streaming works flawlessly.	1
The search algorithm needs improvement.	0
There is a vast amount of content available.	1
Content sometimes gets taken down for no reason.	0
Notifications do not always work.	0
Content sometimes gets taken down for no reason.	0
The search algorithm needs improvement.	0
I enjoy the personalized recommendations.	1
YouTube Premium is worth the price.	1
The app is very user-friendly.	1
Live streaming works flawlessly.	1
Notifications do not always work.	0
The dark mode is easy on the eyes.	1
Live streaming works flawlessly.	1
Some videos are blocked in my country.	0
There are too many clickbait videos.	0
I can find videos on any topic I am interested in.	1
The dark mode is easy on the eyes.	1
I enjoy the personalized recommendations.	1
Some videos are blocked in my country.	0
The interface is confusing.	0
It buffers too much even on a fast connection.	0
I enjoy the personalized recommendations.	1
YouTube Premium is worth the price.	1
Notifications do not always work.	0
I love the new features on YouTube!	1
Live streaming works flawlessly.	1
The app is very user-friendly.	1
There is a vast amount of content available.	1
